id,should_trigger,prompt
test-01,true,"Use the $openalex skill to find papers about open government data published after 2022"
test-02,true,"Search for the top-cited articles on machine learning fairness in 2023"
test-03,true,"Find scholarly works on data quality in Italian public administrations"
test-04,true,"I need papers about climate change adaptation written in English, sorted by citations"
test-05,true,"Download the PDF of OpenAlex work W2741809807"
test-09,true,"Show me the most relevant papers on urban data infrastructure, sorted by relevance"
test-10,true,"Find all academic papers that have 'open data' in the title, published between 2020 and 2024"
test-11,true,"Search OpenAlex for articles with 'FAIR principles' in the title published after 2019"
test-12,true,"Find all papers published by researcher Ludo Waltman on bibliometrics"
test-13,true,"Get the most cited works from both Heather Piwowar and Jason Priem"
test-14,true,"Find articles on linked open data from 2022 and show me which ones are open access"
test-15,true,"Download the PDF for OpenAlex work W2764590683"
test-16,true,"Find a recent open access paper on data governance frameworks and download its PDF"
test-17,true,"Get title, year, and citation count for these three papers: DOI 10.1038/s41597-019-0033-6, 10.1371/journal.pone.0228621, and 10.1016/j.dib.2020.105824"
test-18,true,"Retrieve all papers on reproducibility in computational science published since 2021 — I want the full list"
test-19,true,"How many open access articles on climate change have been published per year from 2018 to 2023?"
test-20,true,"Search for papers about GDPR and data protection published after 2018 and save the results as a CSV with title, year, and DOI"
test-21,true,"Find recent articles published in the journal Scientific Data about geospatial data"
test-22,true,"Get the 200 most cited papers on deep learning published between 2019 and 2022 as a tab-separated table"
test-23,true,"How many papers has researcher Silvio Peroni published on scholarly communication?"
test-24,true,"Find papers where the title contains the word 'transparency' about government data"
test-25,true,"Find a highly cited open access paper on machine learning interpretability published after 2020 and download its PDF"
test-26,true,"Show the distribution of papers on artificial intelligence by publication year from 2015 to 2024"
test-27,true,"Sort OpenAlex results on public health data by relevance score"
test-28,true,"Fetch metadata for these OpenAlex work IDs: W2741809807, W2764590683, W3128964691, W3160856016, W3207543953"
test-06,false,"Search for news articles about open data on Google"
test-07,false,"Find papers on Google Scholar about machine learning"
test-08,false,"Download this PDF from this URL: https://example.com/paper.pdf"
